Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-11-11T00:00Z,104,104,low
2023-11-11T00:30Z,108,96,low
2023-11-11T01:00Z,102,96,low
2023-11-11T01:30Z,96,99,low
2023-11-11T02:00Z,97,95,low
2023-11-11T02:30Z,97,92,low
2023-11-11T03:00Z,103,93,low
2023-11-11T03:30Z,101,92,low
2023-11-11T04:00Z,97,97,low
2023-11-11T04:30Z,97,99,low
2023-11-11T05:00Z,101,95,low
2023-11-11T05:30Z,104,94,low
2023-11-11T06:00Z,116,102,low
2023-11-11T06:30Z,134,104,moderate
2023-11-11T07:00Z,162,116,moderate
2023-11-11T07:30Z,177,111,moderate
2023-11-11T08:00Z,184,164,moderate
2023-11-11T08:30Z,185,182,moderate
2023-11-11T09:00Z,181,181,moderate
2023-11-11T09:30Z,174,181,moderate
2023-11-11T10:00Z,172,176,moderate
2023-11-11T10:30Z,171,169,moderate
2023-11-11T11:00Z,170,167,moderate
2023-11-11T11:30Z,174,165,moderate
2023-11-11T12:00Z,175,167,moderate
2023-11-11T12:30Z,187,173,moderate
2023-11-11T13:00Z,197,178,moderate
2023-11-11T13:30Z,202,190,high
2023-11-11T14:00Z,207,201,high
2023-11-11T14:30Z,227,203,high
2023-11-11T15:00Z,236,206,high
2023-11-11T15:30Z,248,225,high
2023-11-11T16:00Z,253,243,high
2023-11-11T16:30Z,254,249,high
2023-11-11T17:00Z,259,249,high
2023-11-11T17:30Z,263,255,high
2023-11-11T18:00Z,263,262,high
2023-11-11T18:30Z,262,263,high
2023-11-11T19:00Z,264,263,high
2023-11-11T19:30Z,266,261,high
2023-11-11T20:00Z,267,262,high
2023-11-11T20:30Z,263,265,high
2023-11-11T21:00Z,257,263,high
2023-11-11T21:30Z,249,265,high
2023-11-11T22:00Z,244,258,high
2023-11-11T22:30Z,233,243,high
2023-11-11T23:00Z,216,241,high
2023-11-11T23:30Z,204,228,high
2023-11-12T00:00Z,204,210,high
2023-11-12T00:30Z,206,210,high
2023-11-12T01:00Z,204,203,high
2023-11-12T01:30Z,196,201,moderate
2023-11-12T02:00Z,198,202,moderate
2023-11-12T02:30Z,194,194,moderate
2023-11-12T03:00Z,191,194,moderate
2023-11-12T03:30Z,188,189,moderate
2023-11-12T04:00Z,180,190,moderate
2023-11-12T04:30Z,170,183,moderate
