Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-12-02T00:00Z,297,300,very high
2023-12-02T00:30Z,299,296,very high
2023-12-02T01:00Z,299,300,very high
2023-12-02T01:30Z,298,298,very high
2023-12-02T02:00Z,298,298,very high
2023-12-02T02:30Z,298,295,very high
2023-12-02T03:00Z,299,302,very high
2023-12-02T03:30Z,300,296,very high
2023-12-02T04:00Z,304,298,very high
2023-12-02T04:30Z,300,299,very high
2023-12-02T05:00Z,306,306,very high
2023-12-02T05:30Z,306,302,very high
2023-12-02T06:00Z,309,310,very high
2023-12-02T06:30Z,307,309,very high
2023-12-02T07:00Z,302,312,very high
2023-12-02T07:30Z,299,308,very high
2023-12-02T08:00Z,292,305,very high
2023-12-02T08:30Z,294,278,very high
2023-12-02T09:00Z,282,294,high
2023-12-02T09:30Z,277,298,high
2023-12-02T10:00Z,273,286,high
2023-12-02T10:30Z,272,283,high
2023-12-02T11:00Z,271,278,high
2023-12-02T11:30Z,271,277,high
2023-12-02T12:00Z,271,277,high
2023-12-02T12:30Z,270,273,high
2023-12-02T13:00Z,266,276,high
2023-12-02T13:30Z,267,278,high
2023-12-02T14:00Z,268,274,high
2023-12-02T14:30Z,272,276,high
2023-12-02T15:00Z,272,277,high
2023-12-02T15:30Z,276,275,high
2023-12-02T16:00Z,272,282,high
2023-12-02T16:30Z,271,284,high
2023-12-02T17:00Z,266,280,high
2023-12-02T17:30Z,266,277,high
2023-12-02T18:00Z,266,272,high
2023-12-02T18:30Z,265,271,high
2023-12-02T19:00Z,268,274,high
2023-12-02T19:30Z,270,277,high
2023-12-02T20:00Z,273,279,high
2023-12-02T20:30Z,271,281,high
2023-12-02T21:00Z,279,278,high
2023-12-02T21:30Z,272,273,high
2023-12-02T22:00Z,260,274,high
2023-12-02T22:30Z,254,274,high
2023-12-02T23:00Z,227,256,high
2023-12-02T23:30Z,220,256,high
2023-12-03T00:00Z,219,249,high
