Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-11-25T00:00Z,111,116,low
2023-11-25T00:30Z,114,114,low
2023-11-25T01:00Z,107,111,low
2023-11-25T01:30Z,108,111,low
2023-11-25T02:00Z,110,108,low
2023-11-25T02:30Z,109,107,low
2023-11-25T03:00Z,111,109,low
2023-11-25T03:30Z,106,108,low
2023-11-25T04:00Z,100,114,low
2023-11-25T04:30Z,97,108,low
2023-11-25T05:00Z,100,101,low
2023-11-25T05:30Z,107,98,low
2023-11-25T06:00Z,116,104,low
2023-11-25T06:30Z,127,117,moderate
2023-11-25T07:00Z,134,117,moderate
2023-11-25T07:30Z,148,122,moderate
2023-11-25T08:00Z,161,140,moderate
2023-11-25T08:30Z,167,153,moderate
2023-11-25T09:00Z,165,162,moderate
2023-11-25T09:30Z,162,169,moderate
2023-11-25T10:00Z,162,162,moderate
2023-11-25T10:30Z,153,158,moderate
2023-11-25T11:00Z,149,160,moderate
2023-11-25T11:30Z,148,153,moderate
2023-11-25T12:00Z,152,154,moderate
2023-11-25T12:30Z,153,150,moderate
2023-11-25T13:00Z,156,158,moderate
2023-11-25T13:30Z,163,159,moderate
2023-11-25T14:00Z,168,160,moderate
2023-11-25T14:30Z,182,167,moderate
2023-11-25T15:00Z,201,180,high
2023-11-25T15:30Z,217,190,high
2023-11-25T16:00Z,221,208,high
2023-11-25T16:30Z,219,223,high
2023-11-25T17:00Z,218,229,high
2023-11-25T17:30Z,211,227,high
2023-11-25T18:00Z,215,223,high
2023-11-25T18:30Z,216,214,high
2023-11-25T19:00Z,220,217,high
2023-11-25T19:30Z,224,219,high
2023-11-25T20:00Z,228,225,high
2023-11-25T20:30Z,229,229,high
2023-11-25T21:00Z,225,229,high
2023-11-25T21:30Z,222,232,high
2023-11-25T22:00Z,228,231,high
2023-11-25T22:30Z,219,218,high
2023-11-25T23:00Z,209,222,high
2023-11-25T23:30Z,207,218,high
2023-11-26T00:00Z,206,213,high
2023-11-26T00:30Z,208,213,high
2023-11-26T01:00Z,208,210,high
2023-11-26T01:30Z,208,214,high
2023-11-26T02:00Z,206,213,high
2023-11-26T02:30Z,206,211,high
2023-11-26T03:00Z,209,210,high
