Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-07-01T00:00Z,85,69,low
2023-07-01T00:30Z,82,64,low
2023-07-01T01:00Z,83,78,low
2023-07-01T01:30Z,83,69,low
2023-07-01T02:00Z,81,73,low
2023-07-01T02:30Z,81,72,low
2023-07-01T03:00Z,81,71,low
2023-07-01T03:30Z,81,72,low
2023-07-01T04:00Z,82,74,low
2023-07-01T04:30Z,81,70,low
2023-07-01T05:00Z,82,70,low
2023-07-01T05:30Z,82,72,low
2023-07-01T06:00Z,78,69,low
2023-07-01T06:30Z,82,71,low
2023-07-01T07:00Z,78,66,low
2023-07-01T07:30Z,81,69,low
2023-07-01T08:00Z,80,70,low
2023-07-01T08:30Z,79,69,low
2023-07-01T09:00Z,78,72,low
2023-07-01T09:30Z,77,69,low
2023-07-01T10:00Z,76,76,low
2023-07-01T10:30Z,68,75,low
2023-07-01T11:00Z,64,71,low
2023-07-01T11:30Z,61,59,low
2023-07-01T12:00Z,68,61,low
2023-07-01T12:30Z,63,53,low
2023-07-01T13:00Z,63,65,low
2023-07-01T13:30Z,61,56,low
2023-07-01T14:00Z,59,60,low
2023-07-01T14:30Z,59,55,low
2023-07-01T15:00Z,55,57,low
2023-07-01T15:30Z,64,49,low
2023-07-01T16:00Z,58,55,low
2023-07-01T16:30Z,61,56,low
2023-07-01T17:00Z,62,60,low
2023-07-01T17:30Z,66,44,low
2023-07-01T18:00Z,72,62,low
2023-07-01T18:30Z,83,59,low
2023-07-01T19:00Z,93,72,low
2023-07-01T19:30Z,95,73,low
2023-07-01T20:00Z,91,86,low
2023-07-01T20:30Z,87,81,low
2023-07-01T21:00Z,95,83,low
2023-07-01T21:30Z,91,77,low
2023-07-01T22:00Z,94,76,low
2023-07-01T22:30Z,86,84,low
2023-07-01T23:00Z,90,80,low
2023-07-01T23:30Z,81,75,low
2023-07-02T00:00Z,82,77,low
2023-07-02T00:30Z,91,66,low
2023-07-02T01:00Z,89,66,low
2023-07-02T01:30Z,85,73,low
2023-07-02T02:00Z,86,75,low
2023-07-02T02:30Z,86,72,low
2023-07-02T03:00Z,88,73,low
2023-07-02T03:30Z,92,77,low
2023-07-02T04:00Z,95,74,low
2023-07-02T04:30Z,91,85,low
2023-07-02T05:00Z,95,90,low
2023-07-02T05:30Z,94,88,low
2023-07-02T06:00Z,95,87,low
2023-07-02T06:30Z,92,87,low
2023-07-02T07:00Z,90,87,low
2023-07-02T07:30Z,83,85,low
2023-07-02T08:00Z,75,79,low
2023-07-02T08:30Z,77,81,low
2023-07-02T09:00Z,83,71,low
2023-07-02T09:30Z,82,74,low
2023-07-02T10:00Z,77,83,low
2023-07-02T10:30Z,73,81,low
2023-07-02T11:00Z,67,77,low
2023-07-02T11:30Z,64,73,low
2023-07-02T12:00Z,68,66,low
2023-07-02T12:30Z,70,64,low
2023-07-02T13:00Z,69,66,low
2023-07-02T13:30Z,69,66,low
2023-07-02T14:00Z,60,64,low
2023-07-02T14:30Z,61,68,low
2023-07-02T15:00Z,62,63,low
2023-07-02T15:30Z,63,65,low
2023-07-02T16:00Z,69,65,low
2023-07-02T16:30Z,71,63,low
2023-07-02T17:00Z,77,72,low
2023-07-02T17:30Z,76,66,low
2023-07-02T18:00Z,70,66,low
2023-07-02T18:30Z,75,75,low
2023-07-02T19:00Z,78,68,low
2023-07-02T19:30Z,80,76,low
2023-07-02T20:00Z,84,74,low
2023-07-02T20:30Z,84,82,low
2023-07-02T21:00Z,79,79,low
2023-07-02T21:30Z,75,79,low
2023-07-02T22:00Z,88,70,low
2023-07-02T22:30Z,78,71,low
2023-07-02T23:00Z,74,71,low
2023-07-02T23:30Z,70,75,low
2023-07-03T00:00Z,70,78,low
2023-07-03T00:30Z,71,68,low
2023-07-03T01:00Z,74,71,low
