Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-05-01T00:00Z,118,119,low
2023-05-01T00:30Z,123,119,moderate
2023-05-01T01:00Z,123,123,moderate
2023-05-01T01:30Z,125,125,moderate
2023-05-01T02:00Z,126,139,moderate
2023-05-01T02:30Z,118,140,low
2023-05-01T03:00Z,118,135,low
2023-05-01T03:30Z,122,134,moderate
2023-05-01T04:00Z,118,119,low
2023-05-01T04:30Z,116,124,low
2023-05-01T05:00Z,119,119,low
2023-05-01T05:30Z,125,117,moderate
2023-05-01T06:00Z,136,118,moderate
2023-05-01T06:30Z,137,121,moderate
2023-05-01T07:00Z,138,135,moderate
2023-05-01T07:30Z,138,135,moderate
2023-05-01T08:00Z,138,138,moderate
2023-05-01T08:30Z,133,135,moderate
2023-05-01T09:00Z,132,136,moderate
2023-05-01T09:30Z,130,133,moderate
2023-05-01T10:00Z,126,129,moderate
2023-05-01T10:30Z,126,127,moderate
2023-05-01T11:00Z,124,129,moderate
2023-05-01T11:30Z,119,128,low
2023-05-01T12:00Z,118,122,low
2023-05-01T12:30Z,124,121,moderate
2023-05-01T13:00Z,125,122,moderate
2023-05-01T13:30Z,125,121,moderate
2023-05-01T14:00Z,129,129,moderate
2023-05-01T14:30Z,132,134,moderate
2023-05-01T15:00Z,144,140,moderate
2023-05-01T15:30Z,154,146,moderate
2023-05-01T16:00Z,163,154,moderate
2023-05-01T16:30Z,172,161,moderate
2023-05-01T17:00Z,175,178,moderate
2023-05-01T17:30Z,172,185,moderate
2023-05-01T18:00Z,176,186,moderate
2023-05-01T18:30Z,180,190,moderate
2023-05-01T19:00Z,176,185,moderate
2023-05-01T19:30Z,177,188,moderate
2023-05-01T20:00Z,185,182,moderate
2023-05-01T20:30Z,185,186,moderate
2023-05-01T21:00Z,196,191,moderate
2023-05-01T21:30Z,194,193,moderate
2023-05-01T22:00Z,209,188,high
2023-05-01T22:30Z,207,164,high
2023-05-01T23:00Z,215,202,high
2023-05-01T23:30Z,219,200,high
2023-05-02T00:00Z,210,205,high
