Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-11-01T00:00Z,105,98,low
2023-11-01T00:30Z,103,97,low
2023-11-01T01:00Z,108,97,low
2023-11-01T01:30Z,99,98,low
2023-11-01T02:00Z,104,104,low
2023-11-01T02:30Z,98,96,low
2023-11-01T03:00Z,100,104,low
2023-11-01T03:30Z,88,100,low
2023-11-01T04:00Z,78,94,low
2023-11-01T04:30Z,66,69,low
2023-11-01T05:00Z,62,81,low
2023-11-01T05:30Z,69,70,low
2023-11-01T06:00Z,68,59,low
2023-11-01T06:30Z,71,66,low
2023-11-01T07:00Z,78,65,low
2023-11-01T07:30Z,80,67,low
2023-11-01T08:00Z,77,77,low
2023-11-01T08:30Z,75,73,low
2023-11-01T09:00Z,72,74,low
2023-11-01T09:30Z,68,72,low
2023-11-01T10:00Z,65,72,low
2023-11-01T10:30Z,65,74,low
2023-11-01T11:00Z,64,67,low
2023-11-01T11:30Z,63,67,low
2023-11-01T12:00Z,50,66,low
2023-11-01T12:30Z,50,64,low
2023-11-01T13:00Z,50,61,low
2023-11-01T13:30Z,49,60,low
2023-11-01T14:00Z,50,63,low
2023-11-01T14:30Z,53,62,low
2023-11-01T15:00Z,60,63,low
2023-11-01T15:30Z,68,66,low
2023-11-01T16:00Z,78,69,low
2023-11-01T16:30Z,96,75,low
2023-11-01T17:00Z,104,91,low
2023-11-01T17:30Z,98,113,low
2023-11-01T18:00Z,93,118,low
2023-11-01T18:30Z,92,108,low
2023-11-01T19:00Z,90,107,low
2023-11-01T19:30Z,86,106,low
2023-11-01T20:00Z,89,99,low
2023-11-01T20:30Z,91,102,low
2023-11-01T21:00Z,74,97,low
2023-11-01T21:30Z,53,89,low
2023-11-01T22:00Z,51,81,low
2023-11-01T22:30Z,55,65,low
2023-11-01T23:00Z,58,71,low
2023-11-01T23:30Z,59,60,low
2023-11-02T00:00Z,62,60,low
2023-11-02T00:30Z,66,63,low
2023-11-02T01:00Z,64,70,low
2023-11-02T01:30Z,58,69,low
2023-11-02T02:00Z,56,68,low
2023-11-02T02:30Z,55,60,low
2023-11-02T03:00Z,57,59,low
2023-11-02T03:30Z,58,61,low
2023-11-02T04:00Z,59,59,low
2023-11-02T04:30Z,57,60,low
2023-11-02T05:00Z,61,61,low
2023-11-02T05:30Z,64,65,low
2023-11-02T06:00Z,71,66,low
2023-11-02T06:30Z,81,65,low
2023-11-02T07:00Z,84,88,low
2023-11-02T07:30Z,88,116,low
2023-11-02T08:00Z,96,102,low
2023-11-02T08:30Z,100,108,low
2023-11-02T09:00Z,99,109,low
2023-11-02T09:30Z,102,114,low
2023-11-02T10:00Z,101,111,low
2023-11-02T10:30Z,106,107,low
2023-11-02T11:00Z,114,113,low
2023-11-02T11:30Z,115,115,low
2023-11-02T12:00Z,111,119,low
2023-11-02T12:30Z,103,109,low
2023-11-02T13:00Z,105,102,low
2023-11-02T13:30Z,110,97,low
2023-11-02T14:00Z,122,98,moderate
2023-11-02T14:30Z,108,96,low
2023-11-02T15:00Z,107,108,low
2023-11-02T15:30Z,113,113,low
2023-11-02T16:00Z,111,111,low
2023-11-02T16:30Z,117,113,low
2023-11-02T17:00Z,117,117,low
2023-11-02T17:30Z,118,117,low
2023-11-02T18:00Z,105,118,low
2023-11-02T18:30Z,101,105,low
2023-11-02T19:00Z,95,89,low
2023-11-02T19:30Z,91,95,low
2023-11-02T20:00Z,86,91,low
2023-11-02T20:30Z,75,75,low
2023-11-02T21:00Z,64,78,low
2023-11-02T21:30Z,54,75,low
2023-11-02T22:00Z,50,68,low
2023-11-02T22:30Z,51,68,low
2023-11-02T23:00Z,57,50,low
2023-11-02T23:30Z,56,52,low
2023-11-03T00:00Z,56,56,low
2023-11-03T00:30Z,63,56,low
2023-11-03T01:00Z,63,56,low
2023-11-03T01:30Z,62,59,low
2023-11-03T02:00Z,61,63,low
2023-11-03T02:30Z,60,58,low
2023-11-03T03:00Z,57,60,low
2023-11-03T03:30Z,57,57,low
2023-11-03T04:00Z,59,51,low
2023-11-03T04:30Z,57,56,low
2023-11-03T05:00Z,62,56,low
2023-11-03T05:30Z,66,55,low
2023-11-03T06:00Z,74,58,low
2023-11-03T06:30Z,90,59,low
2023-11-03T07:00Z,94,62,low
2023-11-03T07:30Z,99,67,low
2023-11-03T08:00Z,91,98,low
2023-11-03T08:30Z,91,88,low
2023-11-03T09:00Z,90,95,low
2023-11-03T09:30Z,89,84,low
2023-11-03T10:00Z,86,87,low
2023-11-03T10:30Z,83,82,low
2023-11-03T11:00Z,84,81,low
2023-11-03T11:30Z,79,73,low
2023-11-03T12:00Z,72,90,low
2023-11-03T12:30Z,73,80,low
2023-11-03T13:00Z,72,75,low
2023-11-03T13:30Z,75,72,low
2023-11-03T14:00Z,89,73,low
2023-11-03T14:30Z,95,81,low
2023-11-03T15:00Z,107,80,low
2023-11-03T15:30Z,119,99,low
2023-11-03T16:00Z,128,107,moderate
2023-11-03T16:30Z,138,164,moderate
2023-11-03T17:00Z,148,138,moderate
2023-11-03T17:30Z,155,135,moderate
2023-11-03T18:00Z,160,144,moderate
2023-11-03T18:30Z,161,145,moderate
2023-11-03T19:00Z,162,156,moderate
2023-11-03T19:30Z,166,156,moderate
2023-11-03T20:00Z,168,154,moderate
2023-11-03T20:30Z,161,154,moderate
2023-11-03T21:00Z,151,154,moderate
2023-11-03T21:30Z,141,137,moderate
