Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-10-01T00:00Z,71,68,low
2023-10-01T00:30Z,70,68,low
2023-10-01T01:00Z,70,68,low
2023-10-01T01:30Z,70,69,low
2023-10-01T02:00Z,73,69,low
2023-10-01T02:30Z,75,68,low
2023-10-01T03:00Z,74,70,low
2023-10-01T03:30Z,75,71,low
2023-10-01T04:00Z,72,72,low
2023-10-01T04:30Z,73,72,low
2023-10-01T05:00Z,75,70,low
2023-10-01T05:30Z,82,69,low
2023-10-01T06:00Z,90,72,low
2023-10-01T06:30Z,85,73,low
2023-10-01T07:00Z,71,89,low
2023-10-01T07:30Z,72,84,low
2023-10-01T08:00Z,70,74,low
2023-10-01T08:30Z,72,74,low
2023-10-01T09:00Z,70,71,low
2023-10-01T09:30Z,69,71,low
2023-10-01T10:00Z,71,68,low
2023-10-01T10:30Z,75,70,low
2023-10-01T11:00Z,83,73,low
2023-10-01T11:30Z,86,74,low
2023-10-01T12:00Z,86,78,low
2023-10-01T12:30Z,85,86,low
2023-10-01T13:00Z,84,88,low
2023-10-01T13:30Z,92,88,low
2023-10-01T14:00Z,104,86,low
2023-10-01T14:30Z,113,88,low
2023-10-01T15:00Z,126,97,moderate
2023-10-01T15:30Z,144,122,moderate
2023-10-01T16:00Z,173,149,moderate
2023-10-01T16:30Z,179,154,moderate
2023-10-01T17:00Z,189,179,moderate
2023-10-01T17:30Z,197,184,moderate
2023-10-01T18:00Z,196,192,moderate
2023-10-01T18:30Z,194,197,moderate
2023-10-01T19:00Z,193,195,moderate
2023-10-01T19:30Z,190,193,moderate
2023-10-01T20:00Z,195,194,moderate
2023-10-01T20:30Z,196,179,moderate
2023-10-01T21:00Z,190,179,moderate
2023-10-01T21:30Z,185,171,moderate
2023-10-01T22:00Z,176,178,moderate
2023-10-01T22:30Z,172,181,moderate
2023-10-01T23:00Z,168,168,moderate
2023-10-01T23:30Z,171,167,moderate
2023-10-02T00:00Z,172,172,moderate
2023-10-02T00:30Z,175,172,moderate
2023-10-02T01:00Z,172,174,moderate
2023-10-02T01:30Z,170,178,moderate
2023-10-02T02:00Z,169,175,moderate
2023-10-02T02:30Z,174,167,moderate
2023-10-02T03:00Z,185,173,moderate
2023-10-02T03:30Z,188,174,moderate
2023-10-02T04:00Z,191,192,moderate
2023-10-02T04:30Z,201,190,high
2023-10-02T05:00Z,211,203,high
2023-10-02T05:30Z,219,210,high
2023-10-02T06:00Z,223,228,high
2023-10-02T06:30Z,226,240,high
2023-10-02T07:00Z,222,227,high
2023-10-02T07:30Z,227,229,high
2023-10-02T08:00Z,224,229,high
2023-10-02T08:30Z,222,228,high
2023-10-02T09:00Z,216,228,high
2023-10-02T09:30Z,212,223,high
2023-10-02T10:00Z,205,213,high
2023-10-02T10:30Z,203,211,high
2023-10-02T11:00Z,206,209,high
2023-10-02T11:30Z,207,212,high
2023-10-02T12:00Z,214,206,high
2023-10-02T12:30Z,216,212,high
2023-10-02T13:00Z,212,215,high
2023-10-02T13:30Z,216,226,high
2023-10-02T14:00Z,216,222,high
2023-10-02T14:30Z,225,227,high
2023-10-02T15:00Z,228,222,high
2023-10-02T15:30Z,228,229,high
2023-10-02T16:00Z,231,229,high
2023-10-02T16:30Z,238,232,high
2023-10-02T17:00Z,239,235,high
2023-10-02T17:30Z,232,236,high
2023-10-02T18:00Z,221,238,high
2023-10-02T18:30Z,225,234,high
2023-10-02T19:00Z,220,227,high
2023-10-02T19:30Z,212,230,high
2023-10-02T20:00Z,221,222,high
2023-10-02T20:30Z,202,217,high
2023-10-02T21:00Z,190,215,moderate
2023-10-02T21:30Z,161,197,moderate
2023-10-02T22:00Z,101,199,low
2023-10-02T22:30Z,88,145,low
2023-10-02T23:00Z,86,110,low
2023-10-02T23:30Z,81,106,low
2023-10-03T00:00Z,78,116,low
2023-10-03T00:30Z,76,129,low
2023-10-03T01:00Z,74,73,low
2023-10-03T01:30Z,76,69,low
2023-10-03T02:00Z,80,69,low
2023-10-03T02:30Z,82,74,low
2023-10-03T03:00Z,87,83,low
2023-10-03T03:30Z,86,75,low
2023-10-03T04:00Z,84,86,low
2023-10-03T04:30Z,88,83,low
2023-10-03T05:00Z,86,82,low
