Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-09-01T00:00Z,218,216,high
2023-09-01T00:30Z,217,209,high
2023-09-01T01:00Z,213,216,high
2023-09-01T01:30Z,211,214,high
2023-09-01T02:00Z,205,211,high
2023-09-01T02:30Z,204,205,high
2023-09-01T03:00Z,209,208,high
2023-09-01T03:30Z,210,207,high
2023-09-01T04:00Z,220,209,high
2023-09-01T04:30Z,219,212,high
2023-09-01T05:00Z,215,221,high
2023-09-01T05:30Z,222,222,high
2023-09-01T06:00Z,220,217,high
2023-09-01T06:30Z,219,224,high
2023-09-01T07:00Z,220,225,high
2023-09-01T07:30Z,217,220,high
2023-09-01T08:00Z,209,221,high
2023-09-01T08:30Z,208,217,high
2023-09-01T09:00Z,211,211,high
2023-09-01T09:30Z,213,213,high
2023-09-01T10:00Z,208,213,high
2023-09-01T10:30Z,208,214,high
2023-09-01T11:00Z,200,210,high
2023-09-01T11:30Z,199,211,moderate
2023-09-01T12:00Z,201,205,high
2023-09-01T12:30Z,203,206,high
2023-09-01T13:00Z,207,206,high
2023-09-01T13:30Z,208,204,high
2023-09-01T14:00Z,204,210,high
2023-09-01T14:30Z,208,212,high
2023-09-01T15:00Z,205,211,high
2023-09-01T15:30Z,212,221,high
2023-09-01T16:00Z,218,218,high
2023-09-01T16:30Z,225,223,high
2023-09-01T17:00Z,228,228,high
2023-09-01T17:30Z,233,235,high
2023-09-01T18:00Z,238,228,high
2023-09-01T18:30Z,242,243,high
2023-09-01T19:00Z,249,246,high
2023-09-01T19:30Z,248,247,high
2023-09-01T20:00Z,245,248,high
2023-09-01T20:30Z,242,248,high
2023-09-01T21:00Z,240,243,high
2023-09-01T21:30Z,234,243,high
2023-09-01T22:00Z,235,241,high
2023-09-01T22:30Z,230,236,high
2023-09-01T23:00Z,227,235,high
2023-09-01T23:30Z,225,231,high
2023-09-02T00:00Z,216,223,high
2023-09-02T00:30Z,216,228,high
2023-09-02T01:00Z,217,218,high
2023-09-02T01:30Z,215,216,high
2023-09-02T02:00Z,210,216,high
2023-09-02T02:30Z,212,218,high
2023-09-02T03:00Z,214,213,high
2023-09-02T03:30Z,214,211,high
2023-09-02T04:00Z,222,215,high
2023-09-02T04:30Z,222,214,high
2023-09-02T05:00Z,214,223,high
2023-09-02T05:30Z,216,226,high
2023-09-02T06:00Z,212,218,high
2023-09-02T06:30Z,212,215,high
2023-09-02T07:00Z,207,216,high
2023-09-02T07:30Z,205,211,high
2023-09-02T08:00Z,200,210,high
2023-09-02T08:30Z,195,202,moderate
2023-09-02T09:00Z,187,194,moderate
2023-09-02T09:30Z,178,188,moderate
2023-09-02T10:00Z,170,187,moderate
2023-09-02T10:30Z,161,179,moderate
2023-09-02T11:00Z,149,169,moderate
2023-09-02T11:30Z,140,158,moderate
2023-09-02T12:00Z,134,145,moderate
2023-09-02T12:30Z,126,134,moderate
2023-09-02T13:00Z,125,133,moderate
2023-09-02T13:30Z,123,126,moderate
2023-09-02T14:00Z,133,114,moderate
2023-09-02T14:30Z,138,116,moderate
2023-09-02T15:00Z,154,141,moderate
2023-09-02T15:30Z,165,144,moderate
2023-09-02T16:00Z,180,156,moderate
2023-09-02T16:30Z,190,177,moderate
2023-09-02T17:00Z,196,189,moderate
2023-09-02T17:30Z,199,197,moderate
2023-09-02T18:00Z,200,204,high
2023-09-02T18:30Z,207,207,high
2023-09-02T19:00Z,211,206,high
2023-09-02T19:30Z,215,215,high
2023-09-02T20:00Z,220,207,high
2023-09-02T20:30Z,217,217,high
2023-09-02T21:00Z,224,215,high
2023-09-02T21:30Z,211,211,high
2023-09-02T22:00Z,172,212,moderate
2023-09-02T22:30Z,164,208,moderate
2023-09-02T23:00Z,138,199,moderate
2023-09-02T23:30Z,132,184,moderate
2023-09-03T00:00Z,125,137,moderate
2023-09-03T00:30Z,116,145,low
